reviewer,description,rating,review_date
Russell Gruber,"Ali Maloky and the staff are none other than exemplary! From first contact on the phone, to timely emails and texts. I knew I was working with a first class crew, could not have been a better experience!",5.0,8 months ago
Its_izzy_ Alvarado,,5.0,8 months ago
Caroline Sasse,,5.0,8 months ago
Ivan Galvis,,5.0,8 months ago
Marcos Gamez,Karim and Michelle did a great job I had a great experience when I got there I was looking for a car I saw online but came out with a much better car I really thank them!!,5.0,8 months ago
mohamed wahba,charge me $1570 to fix the heater and does not fix it he said i am sorry wrong part wait one week the right part will be her and i went to mechanic in Martinez he fix it for just $250 surprise me i asked him how much part and how much labor …,1.0,8 months ago
john stafford,,5.0,7 months ago
jonathan Nunez,I had better help at honda then Toyota i change 5 to 3 because the service department is bad and they tried to blame me something I did not do just because one employee messed up bad from the service department and left to another place to fix the problem with my car avoid the service department,3.0,7 months ago
Richard Barnes,"Had to wait a little while for the car once they say it was done.  Also, they did not wash it like they normally do.  Also do not think they sanitized the car as well, but they could have.  Seem to be paying the same price but less service.",3.0,7 months ago
Kim Sadia,,5.0,7 months ago
Isaiah Thomas,"I’ve recently had the opportunity to take my car into Honda Concord to get it repaired, due to AC condenser and compressor being damage. Throughout the whole process of leaving my car at Concord Honda, TJ the techincian had the best …",5.0,7 months ago
Demetrius Lee,Great service!,5.0,7 months ago
Kathleen Lail,"Technician was polite, attentive, informative, and helpful. Great service all around!",5.0,7 months ago
chilly chan,Awesome customer service,5.0,8 months ago
Wendy Brindley,,5.0,9 months ago
Derek So,Scheduled my appointment via chat and serviced my vehicle the following morning. Check-in was a breeze and the entire process was seamless. Social distancing was in order and the waiting area was spotless as custodial staff came and …,5.0,9 months ago
Viridiana Chico,Amazing! Got my oil changed done and after explained to me about my maintenance package. They even washed my car which was awesome!👌😊 Very happy with the results.,5.0,9 months ago
Tracy Cameron,,5.0,7 months ago
Raúl Maldonado,,5.0,7 months ago
William Selig,When I asked The cashier about The 15% discount on the website she told me I didn’t qualify because I hadn’t asked for it when I checked in.,3.0,7 months ago
Noelle Fisher,,5.0,9 months ago
Cornell Savage,,5.0,9 months ago
Tomas Vaquerano,,5.0,9 months ago
Suchitra Edussuriya-Essl,,5.0,9 months ago
Lyle Burks,"They found the problem with the suspension, and fixed it.",5.0,9 months ago
musa alhaj,,5.0,9 months ago
Humberto Balcazar,quick and friendly service very efficient,5.0,9 months ago
Rod Abdolhosseini,"My wife and I have purchased two vehicles from Concord Honda over the past three years. Both of the sales associates were nice, and seemed quite helpful. After our first purchase, my wife took our vehicle to the service department for …",2.0,9 months ago
Esther Iniguez,Honda Concord is a good place to purchase a Great Car!,4.0,9 months ago
MitchDom 24,"Mr Wasif Khan is always very helpful,   professional and knowledgable. I always look/ask for him every time i do car service. One of the best advisor.",5.0,9 months ago
Richard Wara,"Wasif was very helpful, as usual. He explained my service both before and after it was finished. The service was completed on time as promised.",5.0,8 months ago
Rikki Sanders,,5.0,8 months ago
Michael Costello,,5.0,8 months ago
jj sansano,Always a great experience with Wasif at Concord Honda. Thank you!,5.0,8 months ago
Juan A Pulido,,5.0,8 months ago
Ludmila Loginow,,5.0,8 months ago
David Montufar,,5.0,8 months ago
giovanna diaz,,5.0,8 months ago
Sean Zhao,,5.0,8 months ago
Why Cry,,5.0,8 months ago
Shawn Fuson,,5.0,7 months ago
Karen McInnis,,5.0,7 months ago
Joanna Chung,"Manny and Prab were phenomenal in helping us get the CRV. We are very happy with how they answered our questions, took me out for a drive, and negotiated a fair price for the car.",5.0,7 months ago
Ethan Hill,,5.0,7 months ago
Ben Suller,Good selection in car. Service is great. Bathrooms could use a little attention.,4.0,7 months ago
Andrew Paredes,"My wife and I drove a long way to hopefully make a purchase. On the way up, our lunch choice was a poor one that made my stomach very upset. Our salesman, Mike G. was extremely considerate and accommodating considering my misery. I ended up …",5.0,7 months ago
roni c.,,5.0,7 months ago
Francesca,,5.0,7 months ago
Chesapeake,"The service advisor was excellent.  Surprised by extremely high prices.  I bought my car at Concord Honda new in 2013, all service since new there, Now for a new starter a $190 fee to diagnose, over $600 for starter, $200 to install.  Why …",2.0,7 months ago
Mrs Cocker,,1.0,7 months ago
Pat Apodaca,,5.0,7 months ago
Lizeth chavez,,5.0,7 months ago
Kesha Coffee,The manager Sergio took care of all of my concerns.,5.0,7 months ago
Mac Abbey,Good selection of cars and very knowledgeable sales staff,4.0,7 months ago
Mario Martinez,"Good service,  great car deals.",5.0,7 months ago
Donna Jones,,5.0,7 months ago
cindy sayad,"Associates extremely professional, informative and helpful!! GREAT JOB CONCORD HONDA!!",5.0,7 months ago
Y B,Courteous professional and efficient,5.0,7 months ago
Sandra Padilla,,5.0,7 months ago
Rëmi,,5.0,7 months ago
Susanne S,,5.0,7 months ago
Cyril Ignacio,,5.0,7 months ago
Kelvin Lee,Great sevice,5.0,7 months ago
Kishorie Weingart,"I have purchased two vehicles from this dealership, separated by 3 years apart. This last one I purchased, there was a paper with information about the car taped to the vehicle on the bottom right side of the passenger windshield, taped to …",2.0,7 months ago
Kim Belsher,I and others in my family absolutely love Concord Honda...every time we come here it has been professional and accommodating and we all agree we leave feeling like they are part of our family.... shout out to Mike who knew exactly what i …,5.0,7 months ago
melchia kutches,,5.0,7 months ago
Richard Morgan,,5.0,7 months ago
Joe Zacharias K,It was really good and quick. The team came out with great work and makes me trust Honda and proved my decision to go ahead with Honda CRV was worth.,5.0,7 months ago
Spencer Christensen,,5.0,7 months ago
Penny Fagen,Went in for a service. They kept me waiting twice while they said they go check on somebody and then I had to contact them they didn't come back to me.,1.0,7 months ago
jdude250,"Great car at a great price, Cristina always takes care of me.",5.0,7 months ago
Liliana Lopez,I take my accord in for maintenance when needed and usually I just get the basic oil change. This last time I had to get a full maintenance because of some issues I felt with the car. I even got the car detailing which is wash the car and …,4.0,7 months ago
Atiwat Kongsinporn,,4.0,7 months ago
Allison Cruz,,5.0,7 months ago
Brad Backstrom,,5.0,7 months ago
Craig Perry,"Looked all over the bay area for a certain car and finally found it at Concord Honda. I'm glad I did, everyone was so nice and made the process very easy. Ali was my sales representative he was great to work with and a really nice guy. Highly recommended.",5.0,7 months ago
karoleaa,,5.0,7 months ago
Veronica Nakagawa,,3.0,7 months ago
Ruzzel Balingit,,5.0,7 months ago
Gonzalez Family,I completely appreciated the non contact aspect! I also appreciated how quickly I was taken care of. I was grateful that the gentleman that brought me my car was able to get the oil smudges off my seat that we’re left by a technician.,5.0,7 months ago
Dana Anderson,,5.0,6 months ago
Devin Davis,,5.0,6 months ago
Nancy Coffee,"Helpful, honest, reasonably priced.  The wait time is about 1.5-2 hours for a routine oil change, with an appointment.  But I've mostly done walk in same day with no appointment and the wait is about 2 hours.  Very convenient!  If you don't want to wait in their comfortable couch area, get a ride home.",5.0,6 months ago
Eva Mitchell,I used to get my car cleaned after maintenance work when I had a honda years ago. …,4.0,6 months ago
Angie DazaSanchez,,5.0,6 months ago
Dani,,5.0,6 months ago
Lea Pia,,3.0,6 months ago
Marci Lannon,,5.0,6 months ago
Cristina Bollas,,5.0,6 months ago
Gianella C,Very informative service advisor❤️ I had Wasif and he was very helpful. Thank you!,5.0,6 months ago
Jacob Ritter,"Felipe Maramba was the best. He was very helpful, professional, and knowledgeable. He made the whole service quick and easy. I was in and out within an hour. I will definitely bring my car back here to get serviced just because of the great service I received from Felipe Maramba.",5.0,6 months ago
Brandi Carter,,5.0,6 months ago
Asal,,4.0,6 months ago
Ladaine Gaines,,5.0,6 months ago
Moqueam Michael,,5.0,6 months ago
Genevieve Cornista,Karim assisted us and was really helpful showing the new features of the Odyssey. He makes sure we’re satisfied with our purchase by checking in the day after our purchase and offer assistance if we have any furthers questions. We’re happy …,5.0,6 months ago
Doc Baghead,,5.0,6 months ago
Christopher Villafan,"Felipe Maramba at Concord Honda California was super helpful and friendly. He definitely knew what he was talking about and made sure I felt comfortable and understood everything he was saying. This place is great and if you go, make sure …",5.0,6 months ago
Josie Perry,,5.0,6 months ago
Debi Davin,,5.0,6 months ago
Caga Tay,I was told that I would get my fluids topped off before arriving to the facility. Then I was told they would top off only washer fluid. Guess what happened? They did not even do that. There should be a good reason to pay over $60 just for an oil change.,3.0,6 months ago
Delilah Chen,,5.0,6 months ago
Laura Isabella,"I’m giving this experience 5 stars because of my service advisor, Jenifer Herrera.  She was very friendly and professional, and took the time and patience to explain to me the different services.  She was funny too! Jenifer was an absolute …",5.0,6 months ago
Danielle Abbott,The staff were very nice and helpful. My expected wait time was 2-2.5 hours but I was only waiting an hour. Definitely the only Honda dealership I go to for buying or maintaining my cars.,5.0,6 months ago
Sheila Hammitt,Super helpful considering the limitations of the pandemic,5.0,6 months ago
Gary Teague,,5.0,6 months ago
Javonne Johnson,,5.0,6 months ago
Franz Rosenthal,Very friendly staff. The purchasing process was easy. Cristina was extremely helpful and followed up after the sale and is available for any questions. Recommended!,5.0,6 months ago
Michael Chang,,5.0,7 months ago
Bob Dulik,ON TIME::  7:40 AM APPOINTMENT,5.0,7 months ago
Julian Garingan,"I was interested in getting the Honda Insight Touring model in black. I actually had an appointment at a different Honda location (I called last Monday to set up an appointment for Friday). However, the sales associate ended up not working …",5.0,6 months ago
Ana Barraza,"Attendant was very nice, helpful n polite.",5.0,6 months ago
Irene Kumar,The service technician Wasif Khan very friendly and knowledgeable. I highly recommend the service and will be letting my friends and family.,5.0,6 months ago
Norma Perez,,5.0,6 months ago
Phil Chapman,Don’t do business here.  Red Tape everywhere.  Need to leave car 4 hours for a battery.  With an appointment...,1.0,6 months ago
Matthew Higley Jr,,5.0,6 months ago
Isabel Camacho,,5.0,6 months ago
Pamela Joakimson,"went in without appointment .... service dept. was courteous and efficient.... told me that I should get a diagnostic ... I needed new brakes ... they were able to start work right away.  It took about 2 hrs, and cost me $1,000 ... not sure …",5.0,6 months ago
Rebecca Fregosi,,5.0,6 months ago
Abigail Hernandez,,5.0,6 months ago
jkendrick1006,,5.0,6 months ago
carmen aviles,,5.0,6 months ago
Kendell Stewart,,5.0,6 months ago
James McCreadie,So my charging system failed on my car. It costs $190 for a diagnostic review of my car. We got the repairs done. But I feel that the diagnostic review should have been taken off of our bill since we were getting the repairs done. $1700 for …,3.0,6 months ago
Dave A,Their customer service was so good and I was satisfied and my service adviser name was Felipe Maramba.,5.0,6 months ago
RAJAT TRIKHA,"I rated them good before, but today's experience was like.. can't explain, almost $200 for replacing a fuse, which comes complimentary with the car.",1.0,6 months ago
Myron Bailey,,5.0,6 months ago
rockb78,"Bought a car here once that they did not properly disclose an accident on the vehicle. It was a collision and it damage was hidden under the right front fender, which caused water to leak in the car when it rained. They did not offer to fix or anything.",1.0,6 months ago
Doug Tolliver,Courteous and friendly staff. Will return vehicle here for required services.,5.0,6 months ago
brandon maglalang,Christina was awesome. Very helpful and polite. She made me very comfortable and confident about my purchase.,5.0,6 months ago
kfmfe04,The comments below only pertain to the Sales Department.,5.0,6 years ago
Mustang Ranch,Great store and a great experience.  I've bought multiple cars in my life and some go well and so some don't go so well.  This place always delivers.  The prices are below invoice right from the start.  No two or three hours of haggling to …,5.0,6 years ago
D V,This was easily the worst dealership that we have ever dealt with.  My brother was looking for a used Honda Pilot and saw one that was posted online by this dealership.  He called and confirmed over the phone that it was available and we …,1.0,6 years ago
Ceci Diaz,I would recommend buying a car at concord Honda to anyone. i had a great experience buying my new car. I've bought several cars in my life and they have never treated me the way they treated me at concord Honda. They were very nice and …,5.0,7 years ago
Jeff Villano,"If you're looking for a Honda, this is the place to go. From my first contact with Internet Sales through to the signing of my loan with the Finance Manager, this was without a doubt the best car buying experience I've ever had. …",5.0,7 years ago
jen felix,I purchased my brand new 2014 Honda Accord last year.  My plan was to purchase a used one but Ali asked me what type of car I wanted and how much I would be able to afford.  I ended up getting a brand new car! :)  I had a great deal on the …,5.0,5 years ago
maryanne lynn,"I've been dealing w/Johnny the sales mgr., trying to resolve a loan issue.  I bought my CRV on Aug. 1, and calIed to get a lower interest rate thru my credit union. According to my credit union, concord Honda  cashed the check my credit …",1.0,5 years ago
Moqueam Michael,,1.0,5 years ago
Curam Mukund,"These guys are very frank and transparent. I had a smooth dealing with these people, no beating around the bush and the best prices. A bit of extra waiting while purchasing but its all right.",5.0,5 years ago
salvador carrera,,4.0,5 years ago
Adria Revell,"When we came into Concord Honda for a test drive we were able to be helped right away. Jacob was kind and friendly, and allowed us to find a nice reasonable car that was in our price rage. I hightly recommend Concord Honda!",4.0,5 years ago
HyoungKyu Choi,1633bird haven way  CA94565,1.0,5 years ago
Olivia De Lancie,I came here and I think it was the absolute worst customer service experience that I have ever had. Very dishonest about pricing and rude representatives.,1.0,5 years ago
carly mcq,"Since 2007 I have purchased two vehicles from Concord Honda and always have the best experience there. Their service department is excellent, the advisers are upfront and honest with my repairs and always helpful with discounts and advice. …",5.0,5 years ago
Erica D,"DO NOT GET YOUR HONDA SERVICED HERE!  I got an oil change and ""tire rotation"" a little while back, just a basic regular service.  A week later I got a flat tire.  I took my car to Costco and he told me my front tires were bald.  Just ONE …",1.0,6 years ago
Monnique,"Amazing customer service! Came in to get a 2012 Honda Civic and left the lot driving a brand new 2016 Honda Civic LX, cannot express how happy I am from the service I got from Christina, 5 stars!!",5.0,4 years ago
Anthony Villanueva,"Very impressed with Customer Service. I was able to find the perfect car, 2016 Honda Civic EX. Even had the color I wanted. Great attitudes from the Sales & Customer Service Representatives. The Java Machine was awesome!!",5.0,4 years ago
Heidi McCarthy,"Rick & Rich are always alert to customers needs going above and beyond.  I usually show up unannounced with my 2006 CR-V, which now has 195,000 miles. Wahoo! Anyhow, the option and convenience of non-scheduled appointment service is so beneficial to my sometimes erratic work schedule. Thank you muchly",5.0,4 years ago
Chigozie Okeke,Great experience and great deal,5.0,4 years ago
Maureen Millman,I was treated well and honestly from the minute I walked in to purchase my 2014 Honda Civic.,5.0,4 years ago
Donna Hoover,Concord Honda and Rick who helped me were great.  I enjoy taking my car here for service and appreciate the service and respect that I receive when I go.,5.0,4 years ago
Alex Ozuna,I have had two previous Honda vehicles that were only serviced at Concord Honda.  Their service department is superb.  First time a service rep has turned down business by telling me it's not time to change the oil.  Any other dealership …,5.0,4 years ago
Di Meng,Excellent,5.0,4 years ago
David Gutierrez,"Extremely impressed with the Customer Service care and support. As a busy professional they scheduled a service appointment date for me, provided a rental vehicle for the day and even filled a cup of coffee for me. Wow!!  The service …",5.0,4 years ago
Oliva C,Very good service and Rich the mechanic that serviced my car was great and on top of all inspections of my vehicle,5.0,4 years ago
Kabir Frotan,"I took my car to Concord Honda for service yesterday, they really had a good hospitality for customers that I really appreciate their efforts.",5.0,4 years ago
Jonathan Vergara,,5.0,4 years ago
Guy Bouaka,Excellent service!,5.0,4 years ago
Megan Harris,"I bought my 2013 Honda Civic a couple days ago and I love it! Everyone was very nice, and Zach was very helpful and patient during my decision making.",5.0,4 years ago
Eve Cameron,When customers actually take time to recognize amazing customer service it is greatly appreciated. Most will take time to post only when they are frustreated. Here are some words a customer requested to be passed on and I have to agree. …,5.0,4 years ago
Anthos,I have been coming to Concord Honda since 2008 and they have always taken care of me. I wilk continue to go here for as long as I buy Honda/Acura,5.0,4 years ago
Marzouk Azzi,Good service,5.0,4 years ago
Daniel Aldana,"I have been a customer of Concord Honda for more than 15 years. I have been coming here for all my vehicle needs….oil changes, regular schedule maintenance, out of warranty work, etc. My wife and I even purchase a vehicle from Concord Honda …",5.0,4 years ago
Gail Case,Excellent speedy service!,5.0,4 years ago
Ryan Jennings,"Concord Honda was great. We had purchased a used 2004 Honda Accord a few months back from them and then needed to bring it in for a bit of maintenance. After finding out that the fix was going to be around $750, Concord Honda agreed to …",5.0,4 years ago
Feng Yuan,Nice service.,5.0,4 years ago
Brandon Keil,"Great service i brought my car in and i believe his name was ""Ricky""anyways he was awesome was able to get my leaked fixed right away !",5.0,4 years ago
neha kapoor,,4.0,4 years ago
Kusum sharma,Excellent service. Very prompt even though I had no appointment. Advisor Kelly Follet was very professional. Will definitely come again.,5.0,4 years ago
Chris Lawson,"Concord Honda keeps sending me e-mails, telling me to write a review based on my experience. So here you go. …",2.0,4 years ago
Joel Farr,"I've always had great experiences with Concord Honda's service department, including last week when I had a side mirror replaced that I crushed in a parking garage mishap. Quality work, friendly and professional staff and a super clean, modern and roomy waiting area...you can't ask for more.",5.0,4 years ago
CHRIS HADDAD,"Kelly said my CR-V service would take an hour and sure enough, it was an hour! She explained what I needed and checked on me while waiting. Super service and good coffee!",5.0,4 years ago
Ashleyanne Krigbaum,"I had a really easy and pleasant experience buying a used Nissan at Concord Honda. The sales associate I worked with applied zero pressure to sway me away from what I was looking for, and zero pressure to upgrade (but I did witness other …",4.0,4 years ago
Ay Chi Huahua,Did our homework with the Honda Odyssey we wanted to buy and made a deal within 30 minutes.  Everyone was friendly and our buying process experience was painless.  Eran from sales and Zuheir in finance were easy to work with.  Thank you Concord Honda!,5.0,4 years ago
Joyce Spadola,Even though I was late they were welcoming and accepted me. Service lady not only was kind and patient she was thorough and she seems very experience and accurate The way she did her job. It was a very good experience..,5.0,4 years ago
Kanwal Singh,"I am always hesitant to negotiate with Car Dealership but this time around I  was prepared.I was buying Accord.I checked prices in all Bay area dealership Livermore,Tracy,Sacramento and even LA. …",5.0,4 years ago
Silvia Bor,I had a great experience. Ricky was very helpful and really took care of my car.,5.0,4 years ago
Amanda Rojee,,5.0,4 years ago
Mina Younan,I bought the new honda civic 2016 it is a nice car from honda concord. I worked with james and he is really a nice guy.,5.0,4 years ago
Carl Smith,"First service for my 2015 Honda Accord, if they all this I will be completely satisfied.",5.0,4 years ago
Martha Ochoa,I recently bought my van from Concord Honda and had the best experience in doing so.  I basically called in and gave the agent very specific things I needed in order to go in( I was tired of the back and forth of some other dealers) She …,5.0,4 years ago
Joyce Lobo,,5.0,4 years ago
Sue Velde,Very nice folks.,5.0,4 years ago
Ashlee Lung,Great service - Friendly staff. Rick was very professional.,5.0,4 years ago
Les Hansen,"I am completely satisfied with the Service Department at Concord Honda.  The Service Adviser that I worked with was Kelly Follett, She did an outstanding job of communicating and informing me of the service options I should consider.  Kelly …",5.0,4 years ago
Luis Pineda,,5.0,4 years ago
Louise McGuire,I took my car in because the left rear indicator light was not working. I knew that because it was written on the work report the previous time I took it in. It had not been pointed out to me while the car was still there or I would have …,5.0,4 years ago
John Hernandez,"Easy, friendly parts ordering and pick up. Plenty of parking, brand new facility.",4.0,4 years ago
Linda Hilger,This is the third car I have purchased from them.   Great People.,5.0,4 years ago
Sasha Dorman,"Had a great experience with Rick Kreiser, got me a rental car, saved me some un needed services ($$) and made sure everything ran smoothly. Will definitely return!",5.0,4 years ago
laurene morton,,5.0,4 years ago
Doreen Flores,The absolute worst experience I've ever had buying a car!,1.0,4 years ago
Drax Summer,,5.0,4 years ago
Norma Jean Brearley,"My service light came on yesterday, and because I drive frequently, I took the time to come in and have my car looked at. An oil change was due, as was transmission fluid, filter, and there was corrosion on one of the battery terminals, so …",4.0,4 years ago
Shufen Ong,Excellent service. Staff are very friendly and helpful. Love the waiting area with gourmet coffee .,5.0,4 years ago
D Fit TV,Good service and really nice customer service,4.0,4 years ago
Rocio Lopez,"When your Honda needs service -ask for Wasif Khan, service advisor. He is friendly, funny, and genuine! I've been going to Concord Honda for three years now and I specifically ask for him every time. Not only is Wasif a pleasure to deal with, but he's honest and extremely helpful.",5.0,4 years ago
Anna Lee,,5.0,4 years ago
David Gallagher,EDIT: Dropping to 3 stars since they not only ran my credit with one other bank without my permission but 2. …,3.0,4 years ago
Najib Zazi,,5.0,4 years ago
Steven Faires,"Over the years, we have purchased six new Hondas from various dealers. This was our first experience with Concord Honda, and by far the best. It was a pleasure to deal with Chris Zacharakis.",5.0,4 years ago
Genny Blewett,Always very helpful and timely. My service rep was very nice and easy to work with. I've been taking my Honda here since 2012.,5.0,4 years ago
Arnel Silverio,Purchased my 2016 Honda Pilot and it went smoothly and fast with the help of Ali. Love their services.,5.0,4 years ago
frakn oasais,"Very nice people, and service quality",5.0,4 years ago
Susan Stoney,"I took one of our two Honda Civics in for its maintenance service. It just needed an oil change this time, but Ricky Nagayo, the Customer Service Rep who dealt with me, took the time to explain the things that may need looking at in the …",5.0,4 years ago
Brittany Barnes,,5.0,4 years ago
Cindy Manjarrez,,5.0,4 years ago
Kathy McGlothin,"I had a great experience at Concord Honda Service department. I arrived early for my scheduled oil change, they got me in on time and finished my first oil change quickly and at no charge. It was quick and easy.",5.0,4 years ago
Jon Predmore,Excellent inventory and phenomenal service. Very pleasant atmosphere. Highly recommended that you pay Concord Honda a visit.,5.0,4 years ago
Jason Pfau,Excellent all around.  Keep up the good work!,5.0,4 years ago
Keawe S,They provide excellent service in a timely manner. Their service providers were honest and helpful.,4.0,4 years ago
Mariano Villalon,"Awsome experience from beginning to end. The staff was very professional and helpul. Pardais ""P"" was super helpul and went above and beyond when working with us and He got us a good deal by the end of the day. P even hooked us up with some …",5.0,4 years ago
Ernie Sanchez,"For me, they are always professional. The facility is always neat and clean. On my second Accord and have been coming here since 2003. Wouldn't want to go anywhere anywhere else .....",5.0,4 years ago
fernando madrigal,,5.0,4 years ago
Maurice Williams,,5.0,4 years ago
Sage Zimmerman,"Had a simple service performed, and the tech (Ricky) couldn't have been nicer. He even called the next day (on his day off) to answer a question about parts/service that had to be researched. Outstanding dealership, I have a new ""go to"" place for my Honda.",5.0,4 years ago
Alex Ayshel,I have been servicing  my Honda Accord since I bought it at Concord Honda in 2007.  It was always great service quality. Thanks.,5.0,4 years ago
Pavan Kumar,It was very quick and easy service at Concord Honda. The Sales Representative was so friendly and didn't took much time to provide me a good deal. They simply offered a good one and I drove the car to my home. Awesome service !!,5.0,4 years ago
Hlib Yakukhin,so so,4.0,4 years ago
cameron larner,"My service rep was great, 5 starts. The work they performed, fixing a few warranty items and replacing brake pads, 5 stars. Price for replacing the break pads, 2 stars. Even with  the coupon my rep graciously applied, front and rear brake …",3.0,4 years ago
Nino maisuradze,,5.0,4 years ago
Stewart Tung,"Came in for a maintenance oil change appointment. Was informed there is a recall for my FIT but no parts available till summer. Very good service, service receptionist, and comfortable waiting area.",5.0,4 years ago
Robert Swithenbank,Came in for a check on the air bags in my Accord. First very nice service dept. Its very well laid out . Yo u can drive in a multi lane entrance your greeted almost instantly by a service rep. your taken to a large comfortable …,5.0,4 years ago
Ernesto Santiago,"Lots of choices, proven lower prices compared to other Honda dealerships, excellent customer service. Just a perfect Honda place for me and my family. We bought our Honda's here. Great job guys!",5.0,4 years ago
Khulood Jamil,,5.0,4 years ago
Laura Convento,"I was blown away with the Concord Honda's facilities.  It was clean, modern, and the salespeople walked around with iPads.  The staff was friendly and made my family and I feel welcomed.  The coffee machine was also a plus.",5.0,4 years ago
Rox Argo,"Go here, its good!",5.0,4 years ago
Myrian Zegarra,"Very satisfied  client! , Ricky Nagayo is very professional and have good manners and Great sense of humor! 👍👍👍",5.0,4 years ago
Pirun Savann,"Just recently bought a new car here, 2016 Honda Civic Touring and the staff here was amazing, especially Ali Maloky who showed us the utmost respect and we walked out with a brand new car. Great service, will do business again!",5.0,4 years ago
Stan Fong,"The service department at Concord Honda is the best I've ever experienced.  Perhaps that is why I have bought three Hondas from them since 1993.  My recent experience was Saturday, April 2, 2016 when I took my new Honda in for its first oil …",5.0,4 years ago
John Daily,,5.0,4 years ago
Rodrigo Jay Labson,"My car had only 25,000 miles on it and i do all the non-major maintenance myself. While unscrewing the air filter box, all four of the bolts heads sheared off. Ive never opened the filter box so it was like this from the factory. I came …",5.0,4 years ago
Norma Borromeo,"On March 31, 2016 I brought my 2014 Honda Civic for oil change. Wasif Khan, the  Service Advisor waited on me. As always, he was very courteous, friendly & professional. When I asked him some questions about the car, he gave me answers …",5.0,4 years ago
Laureen Kroll,Our car needed an oil change.. Went in got an appt next day no problem.. appt day very little wait and our car was done ahead of time said. Very friendly people.,5.0,4 years ago
Elizabeth Maxon,"I am always completely satisfied with the service at Honda. Service advisor, Wasif Khan, typically takes care of me and he is wonderful at making sure all of my questions are answered and that I am well taken care of. My technician, Hamid, …",5.0,4 years ago
ALEJANDRO BUENDIA,,5.0,4 years ago
Saeed Chehrazi,The staff at concord Honda are very professional and do a clean job for maintenance. I have been there twice so far and each time they helped me out nicely.,5.0,4 years ago
Jade Shojaee,Skarland was an absolute doll. She helped me when I went in for an oil change and really took care of me.,5.0,4 years ago
David Beaudry,I was there to get a new battery and was told it would take 1 hr and 15min to run a test and see if it needs one. It took nearly 2.5hrs and it was clear that they actually forgot about my car. Nice people but there is no way I should sit there for 2.5hrs for a new battery after making an appointment to see them. Not cool.,2.0,4 years ago
Nikki McMillan,,5.0,4 years ago
laura rivera,Guys are amazing! Thanks for the great customer service and help with my breaks!,5.0,4 years ago
Karthik Raghavan,Thank you Christie for putting dedicated effort to get the car delivered without any hassles. It was great experience buying a car at concord Honda. The process was smooth and the car was delivered without any issues. The services at Concord Honda was just amazing. Hats off to them!!!,5.0,4 years ago
Ranya AbuAita,"I had a great experience at Concord Honda when getting my new Honda Civic. My sales associate Ali Maloky was professional , polite, and patient throughout the whole process. I definitely recommend him if you're looking to purchase a vehicle from Concord Honda! Thank you Concord Honda!",5.0,4 years ago
Justin Morata,As a first time buyer I've had the worst expectations of being hounded by sales people and anticipated an uncomfortable experience. …,5.0,4 years ago
Jessica Bernal,"Purchased my first brand new car with Ali Maloky this past weekend. 100% satisfied with the car and the service provided by Ali. He was very professional, helpful, and straight forward. All around my experience with Ali was fantastic and I would recommend his services to anyone interested in Honda.",5.0,4 years ago
luxsanaree limvarapuss,Great services. The staffs have the service mind (Mr. Tom helps me today). It's really appreciated. I will come back again next visits and recommend my friends to come getting the services here.,5.0,4 years ago
Hamayun Hamidi,,4.0,4 years ago
Sue Dilley,"For the most part it was a good experience, I just wish they would have shown me more about the way to work things such as the headlights and wipers etc... With no owners manual I have nothing to look at for help.",4.0,4 years ago
